Country,2011 Total emissions (kilotonnes),year,level,Code
United States of America,6168,2011,5,USA
Australia,2350,2011,3,AUS
Russian Federation*,1302,2011,2,RSA
Canada,1272,2011,2,CAN
Japan,941,2011,1,JPN
Germany,445,2011,1,DEU
United Kingdom,379,2011,1,GBR
France,255,2011,1,FRA
Italy,195,2011,0,ITA
Sweden,30,2011,0,SWE
