Country,2011 Total emissions (kilotonnes),year,level,Code
United States of America,3743,2011,5,USA
Russian Federation,830,2011,1,RSA
France,674,2011,1,FRA
Germany,563,2011,1,DEU
Canada,518,2011,1,CAN
Italy,379,2011,1,ITA
United Kingdom,284,2011,1,GBR
Sweden,52,2011,0,SWE
