SOx,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
UPI,448163.067,415707.2442,420971.7812,446514.7186,401357.6701,395637.41,386344.62,410213,420427.1,448258.1361,430447.16,421108.8362,381183.7479,358742.4831,367271.001,361036.0723,355347.34,324993.24,341128.682,360397.7633,348815.7181,389361.278,361024.012,339142.8172,334325.3483,283345.0924,264130.8492,267168.4369
DPI,112328.6611,112028.214,112865.9933,112652.9705,121543.3219,129814.7713,139915.2861,154262.8627,174764.7816,141104.2448,153499.1169,160411.0396,157616.1232,145856.688,133452.877,136384.0272,130332.6734,118260.8712,118501.0443,115662.5411,114085.6121,96934.726,87399.237,81969.029,75704.843,61131.8582,57317.8306,54258.9741
PPTD,1059.701491,1021.878412,1389.014586,2123.399075,2481.060853,3232.111247,3259.500847,3074.368144,3233.172259,2867.29383,2937.21231,4388.091529,4791.022808,5896.940298,6948.19578,6731.470645,6465.969653,8039.172653,7428.567766,7584.867641,7311.745338,1904.53,2025.158,1550.052,1294.502,891.835,571.17,100.091
OTI,41759.36664,45618.83645,45576.67419,45276.10146,44650.94524,41577.77232,39747.8008,41118.51648,41124.27855,47663.09276,39082.08066,49438.21123,43992.0456,42663.38312,43980.1437,41392.63113,40624.53905,44990.27586,49655.29467,58479.31771,40107.29665,11674.9669,9564.88,7032.00183,5214.162,4647.9399,4162.2825,3159.2312
BIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFC,27137.12595,23258.59788,18399.49572,20190.50688,19082.00065,17591.67851,16250.31972,16746.05263,16315.40971,15785.21284,8922.19627,11216.59703,12192.18452,13537.08191,13421.66562,15702.27309,20210.73877,25075.18965,30338.73719,35724.77746,42936.95784,35093.90624,35267.52197,34942.1542,39760.28417,9544.224007,9673.3415,10337.6228
EPGU,699678.9504,650357.0397,750015.1279,763549.6463,761777.9269,622121.9453,597884.7096,613696.0419,550555.6709,561993.3676,537215.6126,545925.0065,595174.0834,607055.4777,604499.8523,626138.0713,629447.9898,622543.5085,638813.5298,563216.9488,527139.231,459930.3179,493370.4169,430612.0836,384896.6337,337813.7524,296990.7547,283795.7759
RFC,36935.6715,36676.15908,29701.3529,30082.10737,28530.8012,31216.14494,28412.77812,28966.32022,29445.03691,26756.21183,17392.69948,26564.90761,24986.15031,20742.85111,21084.09684,13213.38222,12792.13295,12274.90015,11778.138,11524.38646,10884.0295,9446.4744,11773.47218,9790.72482,7306.90485,7306.89,19180.12,19180.12
RFWC,1401.005263,1058.974369,1410.405087,1427.790972,1375.545894,1385.590055,1366.154971,1298.769625,1362.503766,1374.551369,1334.484552,1315.047343,1322.726168,1322.606717,1309.985945,1314.895032,1346.95569,1366.863096,1390.941076,1442.125608,1495.670063,1516.43159,1499.371735,1482.503803,1465.825635,1449.335097,1433.030077,1416.85
AIT,2966.33,3029.86,3260.26,3555.84,3685.51,3531.46,3145.46,3237.12,3101.62,3269.36,3511.21,3927.26,4020.05,4123.07,4303.77,4335.63,3968.3,4120.09,4091.07,4508.96,4685.29,4632.47,4850.56,5069.18,5287.37,5505.92,5593.53,5681.54
HDDV,17644.28,16987.78,18136.64,18427.12,18745.53,20611.99,19113.98,19564.37,22181.97,21994.37,13753.54,11515.06,12368.69,4721.09,5050.21,5079.13,5582.63,5354.86,5325.47,5716.42,6051.53,3377.58,546.4,557.73,568.78,580.4,588.55,647.32
HDGT,1008.14,1024.92,1122.88,1066.18,1768.32,1120.61,1098.68,1117.73,1113.98,1160.05,982.96,845.74,890.95,874.33,701.1,730.58,772.5,646.74,479.27,180.47,78.69,80.28,81.76,83.26,84.74,86.28,87.1,88.02
