pm10,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
UPI,10435.72742,9782.596669,10188.94629,11248.00043,9993.500922,10548.30104,9766.042177,9631.262772,10508.44355,11143.16561,11346.42299,11826.27851,12817.21456,11713.74185,10554.09123,11941.25338,11739.86042,10554.38777,12803.05824,12292.33799,13230.74716,15720.94326,13775.15056,13121.49436,10426.87302,10531.3692,10538.8833,10806.32939
DPI,4351.309375,4560.584923,4801.528246,5107.944344,5399.750377,7823.428447,7765.382879,7718.974379,7652.134309,7735.715714,7680.794856,7644.379965,7704.437998,7626.45601,7506.309268,7513.932577,7421.041751,7132.760491,7198.438639,7395.346635,7421.795413,4427.472,3931.66,3922.64109,3416.800012,3017.783,3017.600298,2747.032159
PPTD,584.7003202,586.017528,591.9530629,597.7645252,602.5573353,609.9188634,615.7400323,621.0858017,627.917447,636.6699628,645.4721549,533.7871229,731.5040769,701.3892885,681.9481797,714.1942951,594.0813773,674.5894897,623.4906218,603.384447,442.551376,225.5117469,198.3878684,164.0526839,135.9697307,96.62156895,88.78758424,78.49728932
OTI,"""""",15802.42787,15347.58858,15020.37369,14103.55668,15861.21191,15373.81214,15480.23137,16985.79889,17605.39837,18756.30331,19617.16365,20455.85833,21674.19421,22327.84903,22305.17531,13264.25129,12867.40855,13939.61683,16760.84452,13786.99678,5261.059927,4749.431229,4193.943722,3633.79535,3983.766019,5593.036324,3629.961657
BIP,,,,,,,,,,,,,,,,,,,,,,,,,,11.3925,9.35,9.72
CFC,3571.687077,3336.20271,2875.478173,3062.510263,3137.923789,2350.546788,2373.185349,2432.542572,2472.799833,2445.660624,2267.491576,2319.772672,2392.0629,2360.28458,2494.602499,2980.747381,3169.326321,3452.847437,3729.958733,3951.068989,4024.166595,3389.333782,3288.32022,3333.347135,3950.86509,2778.633016,2619.259105,2238.442759
EPGU,79629.46759,70587.93973,76465.62255,84030.82408,78852.37769,66572.08562,61666.42567,58646.4053,50081.77797,42158.99572,37312.88596,38375.47725,42093.57622,43957.81661,51877.37615,56975.29912,43119.26906,29208.91802,20534.23418,17874.72267,16505.40105,12734.69031,13876.97777,12299.01828,10712.54741,10313.40247,7957.753222,7591.50653
RFC,3195.741351,2995.047884,2763.392851,2845.317694,2944.787482,2838.920929,2779.423042,2862.239224,2980.733187,2990.141946,2950.184103,3272.307148,3060.124878,2658.539605,2768.593289,2905.31013,2887.965242,2807.9975,2737.504094,2744.298581,2659.842261,2544.783785,2860.647476,2805.112432,2864.047517,2864.024059,3259.71855,3259.72
RFWC,101641.4422,100497.4142,102313.1131,103532.118,99690.04496,100338.1362,98928.46777,94016.04459,98587.76478,99423.5081,96468.35843,95090.53665,95577.69954,95553.66906,94606.24752,94571.16328,97108.51127,98556.76501,100402.1612,104220.9567,108094.1623,109038.0066,107811.329,106598.4516,105399.219,104213.4778,103041.0762,101882.31
AIT,1008.06,1035.69,1180.6,1134.36,1351.68,1200.29,974.29,932.67,911.98,929.24,1019.9,1040.38,1030.18,1068.12,1055.6,1059.22,1001.76,1017.71,973.65,999.4,1023.78,1019.31,1046.81,1074.3,1101.61,1129.28,1141.25,1153.17
HDDV,16249.3,16716.72,17710.13,18257.5,18487.89,18238.24,16752.81,15761.39,16460.79,17867.29,15858.86,12969.45,12364.25,12125.6,10117.3,9392.03,9125.53,8364.91,7783.56,7665.48,7421.59,6771.88,5964.98,5282.02,4697.48,4177.07,3638.42,3112.15
HDGT,1652.82,1516.15,1512.85,1467.29,1321.99,1245.67,1029.83,885.98,806.86,733.95,600.62,532.76,495.74,473.35,392.82,401.58,428.75,395.29,396.28,382.82,370.84,366.02,346.51,316.01,296.16,274.8,220.01,202.23
LDDT,772.15,767.33,721.71,693.37,667.79,642.7,638.7,674.01,744.34,780.01,767.06,670,666.01,639.69,608.22,621.02,607.52,573.36,555.6,532.97,503.65,456.63,407.37,368.44,335.87,301.62,267.26,235.33
LDDV,534.51,504.72,451.78,422.47,392.89,356.77,328.49,311.31,278.11,245.79,213.77,189.5,181.12,170.37,170.79,171.75,172.06,171.82,168.62,170.18,157.59,141.77,126.51,112.45,100.71,92.29,82.8,75.62
LDGT,3653.45,3463.95,3244.43,3082.79,2751.15,2448.72,2328.19,2316.74,2159.69,2111.89,1931.07,1744.72,1713.5,1666.48,1582.04,1478.48,1363.47,1204.21,1039.66,832.53,744.1,688.86,657.02,629.41,594.59,554.36,521.64,404.64
LDGV,2837.81,2300.08,1939.19,1753.87,1721.14,1503.42,1447.13,1377.72,1326.41,1360.92,1283.16,1158.86,1152.87,1079.04,1004.65,980.17,915.49,820.44,686.04,537.52,486.42,491.72,495.59,501.82,504.55,512.56,515.38,515.21
MAT,11197.18,11538.09,11947.04,12674.81,13087.94,12363.35,11210.46,11249.25,10657.37,10668.85,10222.35,9136.86,9452.57,9120.14,8912.24,8883.96,9019.7,9166.7,9373.29,9582.39,9790.88,10001.23,10218.27,10437.28,10658.3,10881.38,11110.1,11339.84
MOT,39.95,31.49,25.83,21.14,18.75,15.73,15.34,14.23,13.85,13.03,12.41,11.69,12.4,14.55,14.18,15.99,18.25,19.91,20.79,21.96,22.99,23.5,23.99,24.49,25,25.49,25.78,26.06
ORUD,46255.82,48359.13,50596.17,51018.26,51306.57,51802.34,51698.26,51722.94,51673.14,51219.9,50920.67,50443.23,49760.34,47659.79,46242.34,44536.96,42800.57,41045.79,39646.7,38235.77,36873.51,35738.59,35065.6,32798.28,32026.49,32402.98,29781.27,27440.4
ORUG,5894.91,5996.58,6098.27,6216.28,6339.02,6466.16,6550.04,6633.96,6717.85,6842.07,6966.31,7060.63,7171.52,7315.61,7468.91,7630.97,7784.89,7939.5,8093.12,8245.9,8383.99,8503.7,8582.64,8629.23,8670.33,8649.17,8627.11,8559.73
RAT,2859.93,2813.47,2798.05,2813.61,2617.63,2703.22,2732.42,2656.03,2647.69,2812.07,2812.94,2720.91,2895.6,2707.48,2551.35,2600.54,2639.33,2676.66,2509.94,4062.78,4028.71,3995.33,3961.63,3928.28,3894.78,3861.06,3830.64,3796.21
TWBL,3206.42,3337.04,3406.05,3499.1,3591.44,3658.43,3669.86,3670.02,3812.13,3954.23,3955.4,3834.68,3990.03,4138.11,4292.41,4394.28,4509.84,4525.23,4604.94,4728.13,4886.34,4995.08,5103.57,5212.22,5320.86,5429.5,5496.4,5563.47
CRE,4.434842748,4.556821194,4.645364276,4.653077948,4.578815332,4.411259204,4.293605785,4.593270884,4.969468143,5.368943707,5.184686305,5.551072348,5.931184468,6.012213267,6.301476755,6.276381508,6.181115934,6.231392775,6.325308636,6.519369211,6.364160685,5.513640477,5.862248627,5.938076553,6.475037394,6.548615645,6.664821612,6.059520462
ICI,29.6904177,29.70402198,29.70562248,30.17537029,30.12415417,29.75250523,29.92305164,29.96053379,29.99600155,30.02920437,30.06987006,42.53280281,55.00265705,67.32502274,79.87610637,92.42719,69.54424,46.66129,40.96325662,64.32722331,87.69119,71.81463626,65.75416408,57.82949642,74.9492774,44.80476236,45.23299347,34.35299347
MUI,1735.05324,1721.923201,1735.439169,1752.111553,1751.551071,1757.17584,1740.35156,1754.190733,1757.040076,1983.133127,1917.032598,1853.364355,1828.445761,1787.389323,1761.480923,1738.316418,1762.675024,1815.147903,1331.017552,1332.807749,1311.115452,476.5062414,538.3217759,485.8688925,520.0870386,393.2963096,249.4599826,110.1187485
