voc,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
OTI,65704.91778,69504.19231,71794.96189,76535.855,75328.90266,73738.00636,73323.10235,73344.47883,82402.61248,81277.49782,80793.85993,82297.94189,83548.83039,94677.19459,93757.03143,90199.90026,75490.74087,74394.54413,69983.03337,68008.76499,66016.00288,55747.29938,52884.66675,47676.447,42385.36178,45010.8311,46515.5441,46701.212
BIP,,,,,,,,,,,,,,,,,,,,,,,,,,70.442,97.463,102.878
CFC,1543.786925,1467.821702,1290.326009,1375.746451,1442.127378,1323.261158,1348.285679,1313.741299,1365.172225,1290.498166,1272.388172,1258.977247,1287.805539,1182.886082,1323.987653,1511.252819,1512.004985,1532.973554,1592.080946,1450.808336,879.6830916,1218.878147,761.0848,1213.0797,1498.084,1309.7484,1308.2217,1303.0585
EPGU,2274.506575,2126.773923,2396.244304,2546.578374,2625.477348,2537.402186,2857.215829,3442.542646,3564.657439,3768.4607,3599.925817,3690.271012,3898.328032,3980.326751,4020.640418,3645.310774,4011.895696,4425.81266,4707.378084,3936.594732,3311.812433,2049.713362,2069.001936,1795.670536,1895.55675,1846.111344,1663.926331,1205.812757
RFC,1645.483488,1558.556541,1470.246538,1541.29565,1636.855911,1603.735125,1594.167092,1651.157189,1732.990375,1765.603779,1759.470161,1954.786091,1832.989429,1607.155738,1692.579571,1789.862484,1786.410896,1744.392976,1707.792812,1721.51021,1691.756224,1634.931822,1810.399523,1807.669436,1769.773439,1769.802143,1872.8134,1872.81
RFWC,132144.6344,98809.06845,132009.6391,133510.9752,94492.60199,128832.3623,127822.1674,121518.6009,127287.1488,129458.0542,124721.8119,122930.8505,93849.18883,94016.52009,123267.8893,123112.3954,126109.374,127801.0557,130004.3432,134743.7431,138232.9321,157062.835,155295.8781,153548.7994,151821.3755,150113.385,148424.6094,146754.67
AIT,7394.26,7500.94,8078.7,8612.58,9019.97,8592.29,7525.8,7662.3,7383.68,7774.32,8304.49,11720,11807,10076.45,8790.01,9161.36,7986.5,6529.63,9507.31,10278.64,10677.16,10517.06,10996.18,11470.38,11949.85,12423.77,12619.98,12810.55
HDDV,22482.71,22834.53,23568.16,23383.41,22441.57,20580.92,18221.82,16485.75,16862.29,17839.28,16357.79,13768.98,13280.43,14063.63,11965.21,11763.41,11955.88,11368.86,10306.66,10430.88,10269.71,9830.48,9418.29,8966.58,8572.81,8187.7,7822.58,7361.34
HDGT,49156.38,46708.24,47602.01,45554.17,42730.1,38148.19,30678.14,25259.3,22761.85,19560.65,14725.96,13583.53,12818.9,12053.6,9162.58,10250.99,10701.57,9645.34,9457.94,9115.47,8632.05,8303.72,8122.07,7969.01,6854.54,6539.82,5815.65,5570.63
LDDT,1351.67,1354.99,1269.67,1226.43,1196.89,1150.01,1183.23,1317.35,1471.97,1622.35,1797.23,1650.45,1716.69,1799.7,1851.48,2000.27,2072.74,2055.28,2067.56,2070.58,2057.44,2016.04,1965.27,1900.46,1830.48,1752.37,1653.78,1552.93
LDDV,688.81,648.04,610.71,587.12,562.32,533.8,531.92,540.72,517.22,502.29,479.14,454.28,455.47,469.09,482.88,503.29,504.36,495.72,477.63,470.83,446.71,424.17,405.56,381.01,358.75,335.72,307.12,279.93
LDGT,268757.32,264098.93,253473.79,244749.15,232085.98,204888.02,201607.27,205221.1,203443.98,206663.96,191719.34,181259.8,177607.59,173191.71,176136.76,178717.76,167862.25,154533.19,146203.58,133859.28,125684.26,118003.76,112942.71,105689.2,100125.82,93858.15,86614.71,72828.64
LDGV,467806.46,467655.19,456685.9,456018.82,446270.22,407333.14,395943.19,386207.84,347155.59,326473.76,300372.14,269140.02,248508.55,222524.08,223521.04,214255.1,199714.32,178206.96,161887.78,142995.03,123025.15,116472.6,111333.5,105556.84,99614.72,92732.44,85296.64,76723.86
MAT,4194.3,4316.46,4464.07,4732.91,4881.62,4600.06,4161.46,4181.13,3959.66,3963.9,3795.57,3386.49,3504.89,3382.24,3295.71,3283.93,3336.01,3392.58,3469.96,3546.97,3624.31,3698.08,3778.25,3859.25,3941.11,4023.86,4107.89,4192.16
MOT,4852.84,4131.43,3722.83,3156.45,2712.44,2429.68,2413.89,2183.44,2190.13,2104.56,2061.75,1901.95,2019.58,2406.41,2355.04,2626.76,3016.56,3160.2,3406.61,3501.84,3622.07,3595.56,3553.63,3480.46,3363.66,3246.42,3076.51,2918.82
ORUD,42513.09,44591.13,46669.2,47791.17,48829.42,49809.06,50707.52,51566.13,52344.99,53069.64,53714.47,53428.3,52746.26,51652.42,50049.98,48209.55,46105.63,44218.15,43421.61,42092.62,40846.83,39889.91,39648.99,37338.43,36274.12,38282.75,39006.89,39000.57
ORUG,217839.62,222894.58,227949.53,233363.79,238866.58,244509.06,248183.16,251878.4,255531.44,260042.87,264554.12,258942.96,252484.89,253686.29,256709.03,261793.62,263383.27,265777.55,267004.22,264691.81,260170.25,256531.31,248768.58,240509.15,233867.49,227321.04,221150.77,214365.79
RAT,2212.23,2173.54,2160.48,2173.45,2021.55,2215.82,2239.08,2177.65,2170.84,2306.56,2307.48,2231.58,2368.53,2217.34,2084.38,2123.98,2156.2,2183.48,1894.04,3007.84,2970.65,2931.71,2895.31,2859.11,2821.69,2786.84,2755.11,2719.78
TWBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRE,0.838742084,0.853223195,0.874016195,0.883143841,0.916836721,0.941367721,0.966874739,1.002692247,1.051875683,1.094034815,1.116369549,1.146869716,1.189595835,1.216766768,1.292858477,1.330791,1.400934974,1.518173248,1.620419451,1.759858314,1.800737138,1.859073728,1.97659004,2.002155467,2.183234826,2.204728733,2.247225733,2.043132
ICI,18.83219289,19.05362189,47.58214957,49.78403912,21.11560565,21.91227488,22.16656644,21.29729118,21.52023042,21.74688907,22.02361091,19.94265233,18.46128867,17.50947112,16.57869147,16.935,18.4759,20.0168,22.3245,21.1245,19.9245,723.0146101,720.3573565,633.3361838,636.8965634,712.3412441,652.5037254,651.5897254
MUI,6367.067859,3967.084381,3982.642566,4014.935484,4047.654218,4081.364581,4059.428174,4060.779448,4039.91985,4116.73794,4127.420778,4084.154884,4085.45337,4087.345084,4101.75284,4106.068322,4041.932691,4022.582488,4040.665633,4038.475751,4023.157381,685.7348814,688.1522405,628.0923621,634.3277229,470.4304954,396.3684374,242.5571
OIU,90.19804456,90.19849956,90.19639356,90.19671856,90.19718656,90.19786256,90.19809656,90.19859056,90.19855156,90.19892856,90.19903256,90.19970156,90.20442656,90.20370456,90.20516656,90.20631656,74.71515001,59.61958436,43.17476343,26.73153954,26.74897358,106.9655,106.9655,87.9635,124.8144,126.4546,134.25,134.25
CIS,320.4607861,319.2686592,291.5158186,291.5158186,277.7704498,290.7770593,238.7770593,243.9770593,229.9750345,175.3750345,224.7750345,158.6677652,145.6610596,133.8659066,123.4659066,122.9497879,97.1797147,71.75398551,43.01998275,13.44154861,16.58511367,8.675720756,9.069052237,8.267085124,7.975742019,8.060857636,8.016064062,7.89
DRC,700.6402795,700.6402795,700.6402795,700.6402795,700.6402795,744.7126425,744.5624175,744.3821945,744.2319695,744.0817385,729.6618235,744.7386865,745.3032475,745.3933635,808.4064195,793.5064195,802.046702,311.0191539,195.8923266,212.8574248,213.797585,221.3907445,187.694,205.0669206,250.0434344,427.4641254,278.9619837,284.5595476
GSU,165464.29,166285.91,167052.89,161179.09,164136.81,189080.51,188807.36,195952.32,199768.83,209750.97,225345.14,230913.92,234497.11,235525.98,244875.4,257523.16,244670.8,237530.33,243544.48,242488.45,242086.86,225090.6452,227847.6298,227943.2341,223025.6207,229883.4225,229883.2133,229883.0727
MCHI,0.246,0.2963,0.3466,0.3969,0.4472,0.338,0.364216343,0.453148877,0.54650028,0.681330547,0.749,0.709669686,0.787852222,0.906683433,1.002861854,0.92,1.046480998,1.233928093,1.383568445,1.678457984,1.882,,,,15.963,19.2286,17.321,9.9989
MEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPPR,125135.4384,123244.7511,124095.85,122499.7729,119155.4054,115094.7721,106554.6881,102759.8883,102290.6694,103575.746,95607.99564,90997.25558,90514.66405,90428.88796,87969.40915,91923.89673,90357.35326,87990.10134,86649.24254,84936.95992,82012.82872,47180.5011,74626.49901,71713.32246,51128.11,51135.35384,53683.43516,53683.43516
PRI,34647.06389,34234.13725,35595.86296,35610.50736,35000.51429,37596.77971,35329.69159,35101.89206,36015.96275,38066.99355,39552.51823,39250.56498,42279.08892,46243.90655,50560.2629,49813.28825,46422.33036,48590.61627,47833.71759,47445.75821,47264.22184,41511.63982,39382.64475,35170.00707,22702.33788,28857.8729,28153.38214,27788.85809
STF,686.6890057,675.3318554,673.720421,686.3209438,665.8204863,673.6939969,673.6705609,661.7937618,643.2414531,655.8409345,654.6690746,623.5110972,604.9181932,696.5539559,693.2346516,700.6809806,823.1357362,1013.058427,868.0094692,647.633485,648.4931354,297.0785851,279.9061785,265.9300895,265.9300895,265.9300895,305.6953902,305.6953902
SUC,137108.7201,135250.2812,140742.5867,140668.2725,140344.6021,130587.5804,125610.806,121239.5243,115917.817,114721.503,110687.4987,103113.3687,98557.19062,96158.53901,94374.04613,88820.1759,81056.65806,80717.43636,79541.17253,78361.59098,77002.13672,81630.23184,85869.09129,90263.91558,91564.42345,93321.4,93313.04,93313.02401
HUM,3795.373255,3882.155057,4088.707095,4345.611426,4188.688692,3826.324408,3518.908353,3429.704907,55177.23849,54012.19195,3461.389928,49364.40678,46611.57025,47808,44820,2370,2781.38881,2897.159535,2506.982017,2891.100247,2778.096367,,,,,,,
OMS,320.7156478,320.7235535,320.7372308,320.7299556,320.7277731,317.8283195,316.9944644,317.0419892,320.3402439,321.1246622,320.210049,320.9650383,322.2931423,322.2812219,323.4856559,326.294486,329.4780422,331.8436214,334.4158161,327.8480578,333.6675,,,,,,,
AGR,220093.9757,214847.5145,210877.9168,214966.9521,219861.1365,222487.9415,225504.0629,232955.5634,234821.1129,242169.6086,256585.0845,265576.4293,264317.5856,260784.7736,255507.2897,266340.3012,260626.6634,245796.564,283038.6667,300547.7815,300547.7651,291067.2839,291067.2839,312897.9456,257380.9129,251684.8672,252051.2624,252090.3391
COO,,,,,,,,,,,,,,,,,,,,32.38447383,32.97928936,32.73295606,33.77867799,33.87960861,29.14680489,22.33934633,19.77615333,19.77615333
DFPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,12196.95431,12351.23884,12517.43075,12828.25814,13632.18506,14021.87757,13939.08438,13944.80923,14063.5937,14060.68674,13866.06719,13522.58431,13573.84138,13626.87009,13538.35202,13355.49203,13060.77319,13110.1652,13084.91332,13084.32352,13251.7335,18364.20288,18285.89316,18134.65423,18284.75623,18590.36419,15054.70137,13556.35891
MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRB,87237.81577,14345.81135,104400.7516,14345.81135,14345.81135,84576.79395,43962.21265,26833.2362,45521.6436,38799.7686,38804.7704,19152.09685,21195.36795,18844.04342,17753.13289,13955.78283,10295.03027,7251.973261,5013.282775,3330.775134,1336.071878,1063.34416,560.65055,1374.9,4250.12,1304.31,1975.32,6262.57475
BIO,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68,23032698.68
FOF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
