tpm,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
HDGT,1702.41,1561.64,1558.23,1511.3,1361.64,1283.06,1060.75,912.55,831.09,755.93,618.65,548.73,510.62,487.57,404.63,413.62,441.6,407.08,408.19,394.3,381.93,377.02,356.87,325.52,304.95,283.11,226.56,208.28
LDDT,772.15,767.33,721.71,693.37,667.79,642.7,638.7,674.01,744.34,780.01,767.06,670,666.01,639.69,608.22,621.02,607.52,573.36,555.6,532.97,503.65,456.63,407.37,368.44,335.87,301.62,267.26,235.33
LDDV,534.51,504.72,451.78,422.47,392.89,356.77,328.49,311.31,278.11,245.79,213.77,189.5,181.12,170.37,170.79,171.75,172.06,171.82,168.62,170.18,157.59,141.77,126.51,112.45,100.71,92.29,82.8,75.62
LDGT,3763.07,3567.88,3341.76,3175.27,2833.69,2522.21,2398.03,2386.24,2224.49,2175.23,1989,1797.06,1764.86,1716.48,1629.5,1522.82,1404.44,1240.34,1070.84,857.5,766.39,709.54,676.73,648.24,612.43,571.01,537.34,416.76
LDGV,2922.95,2369.11,1997.37,1806.47,1772.78,1548.51,1490.57,1419.04,1366.2,1401.76,1321.64,1193.62,1187.47,1111.42,1034.78,1009.59,942.93,845.06,706.61,553.62,501,506.48,510.47,516.87,519.66,527.93,530.86,530.67
MAT,11648.94,12003.26,12428.33,13184.96,13614.4,12860.41,11661.8,11701.22,11085.2,11097.65,10633.5,9504.25,9833.16,9487.94,9271.92,9242.66,9383.72,9536.33,9751.31,9968.87,10185.91,10404.86,10630.79,10858.76,11088.8,11321,11559.02,11798.13
MOT,41.15,32.45,26.59,21.8,19.32,16.21,15.78,14.65,14.26,13.44,12.81,12.02,12.77,14.99,14.6,16.47,18.79,20.5,21.39,22.62,23.67,24.2,24.73,25.24,25.73,26.24,26.56,26.84
ORUD,46255.82,48359.13,50596.17,51018.26,51306.57,51802.34,51698.26,51722.94,51673.14,51219.9,50920.67,50443.23,49760.34,47659.79,46242.34,44536.96,42800.57,41045.79,39646.7,38235.77,36873.51,35738.59,35065.6,32798.28,32026.49,32402.98,29781.27,27440.4
ORUG,5894.91,5996.58,6098.27,6216.28,6339.02,6466.16,6550.04,6633.96,6717.85,6842.07,6966.31,7060.63,7171.52,7315.61,7468.91,7630.97,7784.89,7939.5,8093.12,8245.9,8383.99,8503.7,8582.64,8629.23,8670.33,8649.17,8627.11,8559.73
RAT,2859.93,2813.47,2798.05,2813.61,2617.63,2703.22,2732.42,2656.03,2647.69,2812.07,2812.94,2720.91,2895.6,2707.48,2551.35,2600.54,2639.33,2676.66,2509.94,4062.78,4028.71,3995.33,3961.63,3928.28,3894.78,3861.06,3830.64,3796.21
TWBL,3243.66,3375.8,3445.5,3539.59,3632.95,3700.68,3712.37,3712.54,3856.12,3999.33,4000.44,3878.6,4035.66,4185.03,4341.26,4444.33,4561.13,4576.86,4657.47,4781.9,4941.84,5051.69,5161.51,5271.43,5381.15,5491.02,5558.74,5626.49
CRE,5.201608695,5.236925439,5.27779416,5.300310512,5.36851501,5.419176802,5.265419835,5.445152235,5.683104951,5.924523047,5.785530187,6.181562485,6.479519164,6.593611641,6.90025511,6.845641508,6.436597255,6.315831953,6.16765154,6.135666057,5.799456685,5.513640477,5.862248627,5.938076553,6.475037394,6.548615645,6.664821612,6.059520462
ICI,443.7703777,31.17578198,819.5033825,871.2698303,39.09771417,39.65936523,39.89141164,36.83909379,35.63316155,34.42496437,39.5665644,52.54268281,65.52685705,78.06118274,90.82422637,108.4984,86.9808,65.4632,47.67924306,87.08781571,126.4963884,114.1664436,101.3540003,113.2295559,115.0310877,59.75125714,60.23831478,44.52461549
MUI,1871.069527,1857.079659,1874.083754,1897.322357,1891.97695,1883.996459,1875.988294,1866.745279,1868.065187,2110.838336,2068.346228,2027.814332,2026.424282,2013.181902,1999.562958,1987.880429,1978.474636,2012.087114,1902.830078,1896.542456,1857.995788,725.0761042,780.4262451,854.5414573,863.5289779,468.9511676,349.2073227,137.0719863
OIU,72.781344,72.781344,72.781344,72.781344,72.781344,72.781344,172.848744,479.227944,234.618744,72.781344,72.781344,72.788704,72.796064,72.803424,72.810784,72.818144,72.97057885,74.06914225,74.1671062,184.2868285,75.68835634,86.2625,86.2625,55.7625,66.528,66.528,66.528,66.528
CIS,1005.368095,930.8526622,822.1850333,822.1850333,775.570747,775.9673169,775.9673169,775.9673169,875.2105563,875.2105563,875.2105563,805.6695304,805.2671971,719.2720904,719.2720904,690.3017466,652.5290146,604.9688485,559.0269177,526.9688096,519.7779356,520.5432454,544.1431342,496.0251074,478.5445212,483.6514582,480.9638437,473.28
DRC,,,,,,0.640544,0.640466,0.640388,0.640311,0.640231,0.640261,0.639177,0.637298,0.637338,0.637338,0.637338,0.018430297,0.018522594,0.6367,0.9671875,0.619,0.59,0.522,1.614,1.568,1.1568,19.65,12.33
GSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCHI,969.944,2438.248,2500.248,2562.2467,2686.2385,1176.599,974.445174,977.7304811,981.931267,1043.030035,993.793,869.1898127,898.0625186,968.4793295,1009.627789,877.294192,781.2612225,747.4553263,697.0023769,715.86813,688.692,427.3243641,337.4723641,343.4193641,201.2576636,261.3989673,297.4701347,274.6337105
MEC,6256.94,6213.66,6192.01,6310.62,6529.6,6311.47,6320.57,6628.58,6730.73,6851.55,6779.85,6738.68,6849.91,7255.82,7695.5,7610.12,7720.39,7814.69,7726.92,7907.04,7753.58,7844.609561,8733.061463,8702.750131,8472.914946,8239.435589,8071.079569,8539.784527
RPPR,817.875,735.5070017,825.4057884,,,,,,,,,,,,,,,,,,,,,,,,,
PRI,78.5059088,73.15027788,73.6427249,74.2083329,75.33154118,5.280817182,6.477113253,8.552552821,11.51813195,14.23388453,25.23473218,22.40502637,20.2734181,18.76077884,18.53920274,16.01931118,17.69645648,19.59056476,19.4159475,22.52952151,29.09605618,10.06467318,15.3581064,16.00897999,15.54468069,12.64175395,6.842601865,29.67372033
STF,392.0058237,380.0751382,376.6333777,396.3150657,376.7742026,379.027401,380.1483672,367.755776,367.80084,371.5918463,357.5938512,335.5632039,311.0596714,321.6046399,308.9247659,310.152759,499.6434536,685.0021923,275.4075813,273.4386405,270.819393,291.6771563,274.8169752,261.094997,261.094997,261.094997,300.1372922,300.1372922
SUC,64.7493,65.3,65.9,66.4536,67.5898,68.4856,57.45440748,59.61788598,63.04809234,92.58501628,65.915,37.83911638,31.02493175,29.15302057,30.19041474,16.791,16.43567936,14.74249107,12.44707299,8.923232357,7.043,,,,,,,
HUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMS,245.5675374,247.7263043,249.0079812,248.1493738,247.9049279,251.7983181,251.7511549,251.5086356,253.1159683,253.1823523,253.8211845,253.472676,254.5652662,255.1978335,257.1871294,255.543278,251.2750589,250.7293383,259.4196056,206.3634844,164.0167739,,,,,,0.66,0.53
AGR,1832226.866,1833567.051,1820117.866,1819033.375,1874276.449,1866130.049,1816527.78,2060470.968,1862981.734,1936234.671,2072445.612,1978152.91,1965534.478,1967461.387,1962678.002,1654755.477,1649317.655,1579101.316,1944268.226,2128754.023,2123252.123,2149167.501,2149165.259,2190515.308,1717014.917,1580176.814,1581079.273,1581447.746
COO,5857514.79,4955019.696,4636154.739,4873691.18,4576986.442,5057983.877,5117458.346,4977330.821,4586477.108,5619996.787,4391795.503,5352666.417,6607689.597,3386306.905,3796688.379,3229782.129,3261904.298,2777271.187,3035470.777,3115458.341,3338630.124,4144366.503,5111968.864,6015499.037,4737750.129,6454184.029,7157271.105,7157271.105
DFPR,2145389.589,2223696.105,2274136.003,2340179.482,2405112.592,2451860.959,2467932.193,2468909.948,2557036.34,2623871.485,2639354.248,2567918.235,2663880.344,2726360.778,2845431.167,2903804.25,2969985.052,2982301.949,3036710.892,3096541.762,3182881.176,3248367.583,3313853.991,3379340.398,3444826.806,3510313.213,3547978.335,3585643.457
DFUR,5646809.578,5827695.091,5702975.031,5771479.643,5894230.754,5999150.12,6028842.928,6015657.079,6249925.615,6484631.04,6301589.387,6070803.244,6447491.868,6696619.194,6906745.799,7065053.883,7331040.972,7398916.124,7563211.824,7753698.08,7985814.18,8202814.436,8572609.55,8825094.994,8979137.217,9212139,9373701,9675076.659
DFCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056.674915
WAS,5709.109891,5826.055673,5896.641648,6980.671716,6971.35144,6162.813861,6312.923497,6459.139182,6647.951122,6843.307241,6913.37146,6422.516053,6143.35654,5525.134526,5364.41841,5087.207693,4986.176077,4915.893705,4851.514132,4468.655273,4432.713511,6320.25274,6199.598906,6175.178834,6092.413885,6204.087029,6463.511099,6988.756526
MIT,57586.28638,59474.36134,57963.90137,59474.36134,59474.36134,58530.32386,56642.2489,56642.2489,56642.2489,56642.2489,34378.56631,60521.44592,60521.44592,60521.44592,60521.44592,61169.24432,51406.20206,34185.00041,30254.84511,29709.12177,29150.18216,32965.97867,32965.97867,32965.97867,32965.97867,32965.97867,32965.97867,32965.97867
PRB,105319.6285,28453.2554,123847.997,28453.2554,28453.2554,102383.8105,57198.9922,34669.6206,55683.7628,52084.5688,54373.9832,21872.1238,33803.9503,29219.79402,26106.11374,19849.26461,12384.84088,6440.732826,3162.434566,682.5211614,3140.375044,2961.72312,1530.2714,3787.84,11857.07,4073.88,5521.65,9492.037
BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
