Country,Annual mean PM10 ug/m3,Year,level,code
Serbia,0,2010,UNKNOWN,SRB
Seychelles,0,2010,UNKNOWN,SYC
Sierra Leone,0,2010,UNKNOWN,SLE
Singapore,40.97,2006,3,SGP
Slovakia,30.05,2006,2,SVK
Slovenia,0,2010,UNKNOWN,SVN
Solomon Islands,0,2010,UNKNOWN,SLB
Somalia,0,2010,UNKNOWN,SOM
South Africa,0,2010,UNKNOWN,ZAF
Spain,31.61,2006,2,ESP
Sri Lanka,0,2010,UNKNOWN,LKA
Sudan,0,2010,UNKNOWN,SDN
Suriname,0,2010,UNKNOWN,SUR
Swaziland,0,2010,UNKNOWN,SWZ
Sweden,11.62,2006,1,SWE
Switzerland,25.51,2006,2,CHE
Syrian Arab Republic,0,2010,UNKNOWN,SYR
Tajikistan,0,2010,UNKNOWN,TJK
Tanzania,25.39,2006,2,TZA
Thailand,0,2010,UNKNOWN,THA
Togo,0,2010,UNKNOWN,TGO
Tonga,0,2010,UNKNOWN,TON
Trinidad and Tobago,0,2010,UNKNOWN,TTO
Tunsia,0,2010,UNKNOWN,TUN
Turkey,0,2010,UNKNOWN,TUR
Turkmenistan,0,2010,UNKNOWN,TKM
Uganda,0,2010,UNKNOWN,UGA
Ukraine,0,2010,UNKNOWN,UKR
United Arab Emirates,0,2010,UNKNOWN,ARE
United Kingdom,15.49,2006,1,GBR
United States of America,21.34,2006,2,USA
Uruguay,0,2010,UNKNOWN,URY
Uzbekistan,0,2010,UNKNOWN,UZB
Vanuatu,0,2010,UNKNOWN,VUT
"Venezuela, RB",0,2010,UNKNOWN,VEN
Vietnam,0,2010,UNKNOWN,VNM
"Yemen, rep.",0,2010,UNKNOWN,YEM
Zambia,0,2010,UNKNOWN,ZMB
Zimbabwe,0,2010,UNKNOWN,ZWE
