pm25,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
WOI,48910,48983,53269,53793,55288,55481,53322,57449,58010,56668,64083,62605,52210,53243,53979,53758,48107,47259,48114,51550,48435,32701,6956,5014,6164,5110,34696,32121
UPI,9288,8071,7930,8361,7025,6663,6460,6725,7803,8695,9195,9606,10397,9084,8362,9610,10025,9444,11047,10668,10905,14055,11717,10334,8567,8598,9056,9228
DPI,2972,3109,3263,3456,3641,5106,5069,5043,5002,5052,5018,4987,5016,4962,4881,4881,4892,4779,4641,4893,5073,2948,2513,2525,2227,1967,1941,1801
PPTD,572,574,579,585,589,596,601,606,612,619,628,511,551,536,528,547,380,506,456,435,439,224,198,164,136,97,89,78
OTI,12162,12329,12107,11899,11141,11553,11245,11258,12302,12788,13535,14248,14843,15643,16088,16090,10056,9969,10687,11808,7877,3736,3350,2844,2895,2631,4002,2318
BIP,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,4
CFC,2963,2790,2434,2598,2700,2028,2072,2121,2173,2133,2123,2167,2199,2069,2202,2576,2642,2729,2888,2956,2902,2468,2404,2426,2993,2447,2395,1999
EPGU,57408,52139,56525,62013,57729,48643,43722,40805,32685,25067,20866,19048,20197,19835,21554,23280,18312,13305,10728,9653,8929,6028,6958,6930,6225,5793,4149,3204
RFC,2701,2545,2371,2478,2611,2531,2492,2571,2695,2717,2693,2981,2783,2433,2546,2679,2664,2593,2529,2538,2473,2369,2631,2605,2616,2616,2810,2810
RFWC,101521,100376,102194,103411,99573,100222,98814,93907,98474,99309,96357,94981,95468,95444,94499,94463,96997,98443,100286,104099,107968,108905,107680,106469,105271,104087,102916,101758
AIT,383,395,436,456,495,465,403,405,391,408,439,485,493,499,497,513,978,993,950,521,999,995,1022,1049,1075,1102,1114,1125
HDDV,15048,15475,16395,16900,17114,16895,15520,14610,15268,16561,14667,11996,11444,11182,9336,8669,8427,7726,7191,7084,6862,6249,5491,4862,4325,3846,3351,2867
HDGT,1147,1053,1051,1022,927,876,731,634,582,537,447,399,376,364,309,319,346,322,324,315,307,307,292,267,250,233,193,178
LDDT,714,710,668,641,618,595,591,624,690,722,709,619,615,590,561,573,560,529,513,492,465,421,375,339,309,278,246,217
LDDV,494,467,418,391,364,330,304,289,258,228,198,175,168,157,157,158,159,158,156,157,145,131,116,104,93,85,76,70
LDGT,2607,2485,2338,2224,2016,1800,1729,1731,1635,1626,1501,1369,1365,1342,1277,1209,1123,998,854,671,602,564,544,527,503,477,454,374
LDGV,2215,1861,1626,1486,1524,1335,1300,1242,1214,1269,1202,1089,1089,1021,950,928,866,775,641,495,446,452,459,460,468,475,476,476
MAT,10289,10602,10977,11645,12024,11357,10295,10330,9785,9795,9384,8385,8675,8369,8177,8151,8275,8409,8598,8789,8980,9172,9371,9571,9773,9977,10186,10396
MOT,28,22,18,15,13,11,11,10,10,9,9,8,9,10,10,11,13,14,15,15,16,16,17,17,17,18,18,18
ORUD,44868,46908,49078,49488,49767,50248,50147,50171,50123,49683,49393,48930,48268,46230,44855,43201,41517,39810,38419,36399,35706,34570,33864,31682,30906,31153,28690,26457
ORUG,5429,5523,5617,5726,5839,5957,6034,6112,6190,6304,6419,6506,6609,6742,6883,7032,7175,7317,7459,7600,7727,7838,7911,7954,7992,7973,7953,7892
RAT,2631,2588,2574,2589,2408,2487,2514,2444,2436,2587,2588,2503,2664,2491,2347,2393,2428,2463,2309,3738,3706,3676,3645,3614,3583,3552,3524,3493
TWBL,1125,1171,1195,1227,1259,1282,1287,1288,1336,1381,1380,1341,1394,1443,1498,1534,1574,1580,1608,1650,1704,1742,1780,1818,1855,1893,1916,1940
CRE,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,6,6,6,6,5,6,6,6,6,7,7,6
ICI,20,20,20,20,20,20,20,20,20,20,20,30,41,51,61,72,56,39,35,44,53,32,29,24,32,26,26,18
MUI,1670,1660,1675,1689,1691,1689,1676,1692,1697,1924,1892,1826,1799,1755,1730,1704,1696,1715,1125,1014,891,409,497,446,480,365,233,103
OIU,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
CIS,1005,931,822,822,776,776,776,776,876,876,876,806,806,719,719,690,653,606,561,527,520,521,544,496,479,484,481,473
DRC,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,17,9
GSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCHI,151,422,431,439,447,183,150,149,149,157,148,131,137,149,157,138,122,115,107,108,103,52,39,38,30,39,46,41
MEC,6257,6214,6192,6311,6530,6311,6321,6629,6731,6852,6780,6739,6850,7256,7696,7610,7720,7815,7727,7907,7754,7845,8733,8703,8473,8239,8071,8540
RPPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRI,66,66,66,66,66,4,4,4,5,5,13,11,10,9,9,7,10,13,14,18,24,8,13,13,14,11,6,24
STF,363,352,349,367,349,351,352,341,340,344,331,311,288,298,286,287,280,268,258,253,251,270,254,242,242,242,278,278
SUC,14,15,15,15,15,12,11,11,12,17,12,6,4,3,2,0,1,1,2,2,3,,,,,,,
HUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMS,161,162,163,162,162,164,164,163,164,164,163,163,164,163,164,163,164,164,166,163,163,,,,,,0,0
AGR,46603,46145,45691,46194,47276,46243,45672,49821,47388,49070,52428,51747,51583,51557,51063,52196,50532,47663,58164,58461,57793,57069,57069,60407,48140,44082,44385,44481
COO,351451,297301,278169,292421,274619,303479,307048,298640,275189,337200,263508,321160,396461,203178,227801,193787,195714,166636,182128,187043,200429,248773,306832,361042,284353,387343,429522,429522
DFPR,98375,101966,104279,107307,110285,112430,113167,113212,117253,120318,121029,117754,122154,125020,130480,133157,136191,136755,139250,141993,145952,148955,151958,154961,157964,160967,162694,164421
DFUR,266148,274888,269432,272699,278465,283413,284816,284226,295233,306155,297716,287054,304603,316342,326342,333915,346294,349441,357155,366090,377040,387212,402341,413155,421565,432065,439406,450632
DFCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
WAS,2559,2584,2623,2917,2921,2460,2430,2487,2559,2639,2732,2516,2388,2189,2074,1876,1323,1897,1928,1852,1879,2509,2421,2412,2388,2508,2477,3041
MIT,1152,1189,1159,1189,1189,1171,1133,1133,1133,1133,688,1210,1210,1210,1210,1223,1028,655,605,508,583,659,659,659,659,659,659,659
PRB,72881,17815,86069,17815,17815,70807,39000,24123,39022,36412,37662,15350,22000,19125,17279,13219,9398,6161,4512,3315,2130,1768,914,2265,7094,2413,3292,6247
BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
