pm25,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ABM,431,427,427,426,420,393,378,370,366,338,320,293,286,262,238,215,232,252,199,211,204,6,6,6,4,2,3,2
ALI,5417,5434,5451,5469,5485,5508,6122,5692,5454,5397,5711,5276,5249,5122,4854,4675,5442,5796,5480,4779,4470,4746,5146,5673,5019,4684,4578,4797
ASI,1390,1281,1171,1062,952,842,61,58,57,55,53,52,50,49,48,48,45,43,40,39,37,7,9,11,9,7,,
API,3157,3044,3256,3358,3164,3105,2764,2646,2416,2527,2461,2466,2765,2768,2779,2225,2324,2066,2294,1607,2008,1591,1563,1624,1491,1513,2048,1491
BAK,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,3,2,3,2,1
CACI,8027,8095,8809,8522,8583,9343,7701,7036,7297,7760,7258,7609,7855,7926,8109,8307,8554,8924,9980,10573,12210,10696,9143,8376,7863,6401,6523,7193
CHI,6114,5720,5287,5363,5221,5301,5193,5090,5058,5400,5057,5433,5205,5153,5102,5180,5005,4973,5140,4907,4458,1772,1402,1339,1334,1186,3678,1309
MPI,548,525,521,496,464,1276,989,930,935,971,982,1082,990,1263,1143,1164,1088,1101,1439,1311,1343,567,621,668,799,457,420,353
FOU,4841,4296,4597,4792,4199,5639,4889,4878,4297,4014,4430,4547,4695,4023,3434,4537,4632,4749,4765,5278,5288,5127,5777,5605,5422,5291,5176,5168
GRI,2668,2851,3098,3060,3070,3185,3345,3364,3353,3605,3532,3471,3318,3101,2977,3152,2900,2652,2871,2627,2312,2484,2318,2164,2206,2515,2573,2500
IASI,18075,16743,16331,16373,15476,10996,10272,9082,10227,10362,10106,10590,11100,8745,9046,9387,7991,6601,6989,6438,6141,2810,2727,2593,1578,2198,2167,2642
IOMI,10824,9313,8000,6435,5121,1617,2191,2626,3194,3642,4044,4307,4461,4445,4372,4519,3127,1834,1585,1760,1936,2312,2218,1495,1285,1335,1091,1148
MARQ,14016,13541,14322,14646,14234,12985,11698,11818,11768,12232,13116,12768,12945,13085,12788,13261,12484,13609,12353,12012,9667,12007,12698,11964,10475,12625,10861,11797
NSRI,10178,10362,10258,10567,10184,8848,9395,9229,8343,8613,6558,6919,6796,6470,6405,6098,5876,5683,4745,5633,5493,5078,3629,2870,1835,1727,1852,1992
PAPI,49202,53554,51723,51865,56708,60742,52749,46189,44386,44720,39227,33655,32635,28517,28337,24972,22287,19098,19558,18117,17514,12662,12260,12304,9073,8250,9169,8571
