Country,Kg/capita,year,level,Code
Slovakia,10.82,2008,0,SVK
Slovenia,4.94,2010,0,SVN
Solomon Islands,,2010,UNKNOWN,SLB
Somalia,,2010,UNKNOWN,SOM
South Africa,,2010,UNKNOWN,ZAF
Spain,8.84,2008,0,ESP
Sri Lanka,,2010,UNKNOWN,LKA
Sudan,,2010,UNKNOWN,SDN
Suriname,,2010,UNKNOWN,SUR
Swaziland,,2010,UNKNOWN,SWZ
Sweden,2.92,2011,0,SWE
Switzerland,1.36,2008,0,CHE
Syrian Arab Republic,,2010,UNKNOWN,SYR
Tajikistan,,2010,UNKNOWN,TJK
Tanzania,,2006,UNKNOWN,TZA
Thailand,,2010,UNKNOWN,THA
Togo,,2010,UNKNOWN,TGO
Tonga,,2010,UNKNOWN,TON
Trinidad and Tobago,,2010,UNKNOWN,TTO
Tunsia,,2010,UNKNOWN,TUN
Turkey,36.44,2010,2,TUR
Turkmenistan,,2010,UNKNOWN,TKM
Uganda,,2010,UNKNOWN,UGA
Ukraine,,2010,UNKNOWN,UKR
United Arab Emirates,,2010,UNKNOWN,ARE
United Kingdom,6.69,2011,1,GBR
United States of America,14.96,2011,5,USA
Uruguay,,2010,UNKNOWN,URY
Uzbekistan,,2010,UNKNOWN,UZB
Vanuatu,,2010,UNKNOWN,VUT
"Venezuela, RB",,2010,UNKNOWN,VEN
Vietnam,,2010,UNKNOWN,VNM
"Yemen, rep.",,2010,UNKNOWN,YEM
Zambia,,2010,UNKNOWN,ZMB
Zimbabwe,,2010,UNKNOWN,ZWE
