Country,1E10 g/year,year,level,Code
Suriname,0,2010,UNKNOWN,SUR
Swaziland,0,2010,UNKNOWN,SWZ
Sweden,0,2010,UNKNOWN,SWE
Switzerland,0,2010,UNKNOWN,CHE
Syrian Arab Republic,0,2010,UNKNOWN,SYR
Tajikistan,0,2010,UNKNOWN,TJK
Tanzania,0,2010,UNKNOWN,TZA
Thailand,37,2010,2,THA
Togo,0,2010,UNKNOWN,TGO
Tonga,6,2010,0,TON
Trinidad and Tobago,0,2010,UNKNOWN,TTO
Tunsia,0,2010,UNKNOWN,TUN
Turkey,2,2010,0,TUR
Turkmenistan,0,2010,UNKNOWN,TKM
Uganda,20,2010,2,UGA
Ukraine,2,2010,0,UKR
United Arab Emirates,0,2010,UNKNOWN,ARE
United Kingdom,0,2010,UNKNOWN,GBR
United States of America,40,2010,2,USA
Uruguay,0,2010,UNKNOWN,URY
Uzbekistan,0,2010,UNKNOWN,UZB
Vanuatu,0,2010,UNKNOWN,VUT
"Venezuela, RB",14,2010,1,VEN
Vietnam,15,2010,1,VNM
"Yemen, rep.",0,2010,UNKNOWN,YEM
Zambia,172,2010,4,ZMB
Greenland,0,2006,UNKNOWN,GRL
Zimbabwe,24,2010,2,ZWE
